50340206,E01,5009109,Medical Incident,02/03/2005,02/03/2005,Other,02/03/2005 12:36:28 PM,0 Block of MCALLISTER ST,SF,94102,B03,01,1455,3,3,3,true,,1,ENGINE,2,2,6,Tenderloin,"(37.7811192121542, -122.412596970637)",050340206-E01,2.4833333
50340318,E43,5009173,Medical Incident,02/03/2005,02/03/2005,Other,02/03/2005 03:53:51 PM,0 Block of ONONDAGA AVE,SF,94112,B09,43,6123,3,3,3,false,,1,ENGINE,1,9,11,Outer Mission,"(37.7214442237375, -122.438020843578)",050340318-E43,2.1
50340352,E19,5009197,Medical Incident,02/03/2005,02/03/2005,Other,02/03/2005 05:57:54 PM,300 Block of URBANO DR,SF,94127,B09,19,8445,3,3,3,true,,1,ENGINE,1,9,7,West of Twin Peaks,"(37.7246459835787, -122.47014141859)",050340352-E19,6.15
50340376,M18,5009214,Medical Incident,02/03/2005,02/03/2005,Patient Declined Transport,02/03/2005 06:32:06 PM,1500 Block of 26TH AVE,SF,94122,B08,18,7475,3,3,3,false,,1,MEDIC,1,8,4,Sunset/Parkside,"(37.758571942844, -122.48423074364)",050340376-M18,4.0333333
50340380,RC4,5009217,Medical Incident,02/03/2005,02/03/2005,Other,02/03/2005 06:50:26 PM,MISSION ST/NORTON ST,SF,94112,B09,43,6116,3,3,3,true,,1,RESCUE CAPTAIN,3,9,11,Outer Mission,"(37.7245877059944, -122.434870379292)",050340380-RC4,3.8
50340414,E05,5009245,Medical Incident,02/03/2005,02/03/2005,Fire,02/03/2005 08:37:22 PM,1000 Block of FILLMORE ST,SF,94115,B05,05,3534,2,2,2,true,,1,ENGINE,1,5,5,Western Addition,"(37.7790893832209, -122.431925839018)",050340414-E05,5.733333
50340438,M07,5009266,Medical Incident,02/03/2005,02/03/2005,Code 2 Transport,02/03/2005 10:22:50 PM,0 Block of FORD ST,SF,94114,B05,06,5252,3,3,3,false,,1,MEDIC,2,5,8,Castro/Upper Market,"(37.7618326995674, -122.431755549864)",050340438-M07,2.0333333
50340445,M17,5009272,Medical Incident,02/03/2005,02/03/2005,Code 2 Transport,02/03/2005 10:32:02 PM,1100 Block of PALOU AVE,SF,94124,B10,17,6647,3,3,3,true,,1,MEDIC,1,10,10,Bayview Hunters Point,"(37.7292524765372, -122.382457584855)",050340445-M17,2.25
50340448,E03,5009275,Medical Incident,02/03/2005,02/03/2005,Other,02/03/2005 10:09:40 PM,1000 Block of POLK ST,SF,94109,B04,03,3121,E,3,3,true,,1,ENGINE,2,4,6,Tenderloin,"(37.7861172118379, -122.419854245692)",050340448-E03,4.35
50340452,M12,5009279,Medical Incident,02/03/2005,02/03/2005,Other,02/03/2005 11:00:11 PM,100 Block of DOWNEY ST,SF,94117,B05,12,5143,E,E,3,true,,1,MEDIC,3,5,5,Haight Ashbury,"(37.7654006858735, -122.446920237634)",050340452-M12,3.05
50340456,M18,5009283,Medical Incident,02/03/2005,02/03/2005,Code 2 Transport,02/03/2005 11:48:38 PM,1900 Block of 33RD AVE,SF,94116,B08,18,7544,3,3,3,false,,1,MEDIC,2,8,4,Sunset/Parkside,"(37.7507821985032, -122.491209316977)",050340456-M18,5.266667
50350018,E36,5009306,Medical Incident,02/04/2005,02/03/2005,Other,02/04/2005 02:10:14 AM,0 Block of FELL ST,SF,94102,B02,36,3111,3,3,3,true,,1,ENGINE,2,2,6,Tenderloin,"(37.7764405100838, -122.418481123408)",050350018-E36,4.8
50350020,T13,5009308,Alarms,02/04/2005,02/03/2005,Other,02/04/2005 02:19:35 AM,100 Block of PINE ST,SF,94111,B01,13,1136,3,3,3,false,,1,TRUCK,2,1,3,Financial District/South Beach,"(37.792387312641, -122.399186604536)",050350020-T13,4.8
50350040,M43,5009325,Medical Incident,02/04/2005,02/03/2005,Code 2 Transport,02/04/2005 04:42:58 AM,100 Block of FONT BLVD,SF,94132,B08,33,8422,3,3,3,true,,1,MEDIC,2,8,7,Lakeshore,"(37.7155450528368, -122.473629919739)",050350040-M43,6.1
50350062,M01,5009341,Medical Incident,02/04/2005,02/03/2005,Code 2 Transport,02/04/2005 07:30:41 AM,1000 Block of MISSION ST,SF,94103,B03,01,2251,3,3,3,true,,1,MEDIC,2,3,6,South of Market,"(37.7801303744947, -122.409871449933)",050350062-M01,4.866667
50350069,E05,5009344,Medical Incident,02/04/2005,02/03/2005,Other,02/04/2005 07:45:13 AM,1700 Block of EDDY ST,SF,94115,B05,05,4133,3,3,3,true,,1,ENGINE,1,5,5,Western Addition,"(37.7808513149724, -122.436427287945)",050350069-E05,2.8333333
50350088,E03,5009351,Medical Incident,02/04/2005,02/04/2005,Other,02/04/2005 08:24:33 AM,700 Block of OFARRELL ST,SF,94109,B04,03,1642,3,3,3,true,,1,ENGINE,1,4,6,Tenderloin,"(37.7853258318143, -122.417091509186)",050350088-E03,6.733333
50350108,M41,5009359,Medical Incident,02/04/2005,02/04/2005,Code 2 Transport,,2000 Block of KEARNY ST,SF,94133,B01,28,0939,3,3,3,true,,1,MEDIC,3,1,3,North Beach,"(37.8069201392161, -122.407170160416)",050350108-M41,4.016667
